order_by,title,eng_title,source_account_codes
100,ACTIVO,ASSET,[]
200,"Efectivo y equivalentes de efectivo (111, 112 y todas aquellas partidas que la entidad conforme a sus políticas defina como equivalentes de efectivo)","Cash and cash equivalents (111, 112 and all items that the entity defines as cash equivalents in accordance with its policies)","[""111"", ""112""]"
300,"Instrumentos financieros de inversión (neto) (1130, 1131, 1134)","Investment financial instruments (net) (1130, 1131, 1134)","[""1130"", ""1131"", ""1134""]"
400,    A Valor razonable con cambios en resultados,    At fair value through profit or loss,[]
500,    A Valor razonable con cambios en otro resultado integral (VRORI),    At fair value through other comprehensive income (FVII),[]
600,    A Costo amortizado,    At amortized cost,[]
700,Derivados financieros para coberturas (1132),Financial derivatives for hedging (1132),"[""1132""]"
800,Instrumentos Financieros Restringidos (1138),Restricted Financial Instruments (1138),"[""1138""]"
900,Cartera de créditos (neta) (114),Loan portfolio (net) (114),"[""114""]"
1000,    Créditos vigentes a un año plazo,    Credits valid for one year,[]
1100,    Créditos vigentes a más de un año plazo,    Credits valid for more than one year,[]
1200,    Créditos vencidos,    Overdue credits,[]
1300,    (Estimación de pérdida por deterioro),    ( Estimated impairment loss),[]
1400,Cuentas por cobrar (neto) (125),Accounts receivable (net) (125),"[""125""]"
1500,Activos físicos e intangibles (neto) (13),Physical and intangible assets (net) (13),"[""13""]"
1600,Activos extraordinarios (neto) (122),Extraordinary assets (net) (122),"[""122""]"
1700,Activos de largo plazo mantenidos para la venta (127),Long-term assets held for sale (127),"[""127""]"
1800,Inversiones en acciones (Neto) (126),Investments in shares (Net) (126),"[""126""]"
1900,"Otros Activos (121, 123, 124) (1)","Other Assets (121, 123, 124) (1)","[""121"", ""123"", ""121""]"
2000,Total Activos,Total Assets,[]
2100,PASIVO,PASSIVE,[]
2200,"Pasivos financieros a valor razonable con cambios en resultados (neto) (2230001, 2240002, 2250003)","Financial liabilities at fair value through profit or loss (net) (210001, 210002, 210003)","[""2230001"", ""2240002"", ""2250003""]"
2600,Derivados para cobertura (2270004),Derivatives for hedging (210004),"[""2270004""]"
2800,Pasivos financieros a costo amortizado (neto) (211),Financial liabilities at amortized cost (net) (211),"[""211""]"
2900,"    Depósitos (2110, 2111, 2112, 2113, 2114) (1)","    Deposits (2110, 2111, 2112, 2113, 2114) (1)","[""2110"", ""2111"", ""2112"", ""2113"", ""2114""]"
3000,    Operaciones con pacto de retrocompra (2115),    Operations with repurchase agreement (2115),"[""2115""]"
3100,"    Préstamos (2116, 2117, 2118)","    Loans (2116, 2117, 2118)","[""2116"", ""2117"", ""2118""]"
3200,"    Títulos de emisión propia (212001, 212003, 212004)","    Own-issue securities (212001, 212003, 212004)","[""212001"", ""212003"", ""212004""]"
3300,    Obligaciones convertibles en acciones,    Bonds convertible into shares,[]
3400,    Préstamos convertibles en acciones hasta un año plazo (211611),    Convertible loans for up to one year (211611),"[""211611""]"
3500,"    Bonos convertibles en acciones (212002,212005)","    Bonds convertible into shares (212002,212005)","[""212002"", ""212005""]"
3600,Obligaciones a la vista (213),Demand bonds (213),"[""213""]"
3700,"Cuentas por pagar (222, 223) (1)","Accounts payable (222 , 223) (1)","[""222"", ""223""]"
3800,Provisiones (2240),Provisions (2240),"[""2240""]"
3900,"Otros pasivos (221, 2242,225,4129) (1) (3)","Other liabilities (221, 2242,225, 4129) (1) (3)","[""221"", ""2242"", ""225"", ""4129""]"
4000,Préstamos subordinados (2119),Subordinated loans (2119),"[""2119""]"
4100,Total Pasivos,Total Liabilities,[]
4200,PATRIMONIO NETO,NET WORTH,[]
4300,Capital Social (311)4/,Share Capital (311) 4/,"[""311""]"
4400,Reservas (313),Reservations (313),"[""313""]"
4500,    De capital,    From capital,[]
4600,    Otras reservas,    Other reservations,[]
4700,Resultados por aplicar (314),Results to be applied (314),"[""314""]"
4800,    Utilidades (Pérdidas) de ejercicios anteriores,    Profits (Losses) from previous years,[]
4900,    Utilidades (Pérdidas) del presente ejercicio,    Profits (Losses) for the current fiscal year,[]
5000,Primas sobre acciones (315),Share premiums (315),"[""315""]"
5100,Patrimonio restringido,Restricted assets,[]
5200,    Utilidades no distribuibles (321),    Non-distributable profits (321),"[""321""]"
5300,    Donaciones (322),    Donations (322),"[""322""]"
5400,"Otro resultado integral acumulado (3230, 3231)","Accumulated other comprehensive income (3230, 3231)","[""3230"", ""3231""]"
5500,    Elementos que no se reclasificarán a resultados,    Items that will not be reclassified to results,[]
5600,    Elementos que se reclasificarán a resultados,    Items to be reclassified to results,[]
5700,Participaciones no controladoras,Non-controlling interests,[]
5800,Total patrimonio,Total assets,[]
5900,Total Pasivo y Patrimonio,Total Liabilities and Equity,[]
