code,nationality,country,iso_alpha_3_code
9303,AFGANO,AFGANISTÁN,AFG
1001,ALANDÉS,"ALAND, ISLAS",ALA
9306,ALBANO,ALBANIA,ALB
1002,ALEMAN,ALEMANIA,DEU
9309,ALEMAN,ALEMANIA OCCIDENTAL,DEU
9310,ALEMAN,ALEMANIA ORIENTAL,DEU
9315,VOLTENSE,ALTO VOLTA,BFA
9317,ANDORRANO,ANDORRA,AND
9318,ANGOLEÑO,ANGOLA,AGO
1003,ANGUILENSE,ANGUILA,AIA
1004,ANTÁRTICO,ANTÁRTIDA,ATA
9319,BARBUDIANO,ANTIGUA Y BARBUDA,ATG
9898,ANTILLANO NEERLANDÉS,ANTILLAS HOLANDESAS,
9324,SAUDÍ,ARABIA SAUDITA,SAU
9327,ARGELINO,ARGELIA,DZA
9330,ARGENTINO,ARGENTINA,ARG
1005,ARMENIO,ARMENIA,ARM
1006,ARUBEÑO,ARUBA,ABW
9333,AUSTRALIANO,AUSTRALIA,AUS
9336,AUSTRÍACO,AUSTRIA,AUT
1007,AZERBAIYANO,AZERBAIYÁN,AZE
9862,BAHAMEÑO,BAHAMAS,BHS
9342,BAHREINÍ,BAHREIN,BHR
9339,BANGLADESÍ,BANGLADESH,BGD
9345,BARBADENSE,BARBADOS,BRB
9348,BELGA,BÉLGICA,BEL
9349,BELICEÑO,BELICE,BLZ
9350,BENINÉS,BENIN,BEN
9863,BERMUDEÑO,BERMUDAS,BMU
1008,BIELORRUSO,BIELORRUSIA,BLR
9354,BIRMANO,BIRMANIA,MMR
9374,BOFUTATSUANA,BOFUTATSUANA,BWA
9357,BOLIVIANO,"BOLIVIA, ESTADO PLURINACIONAL",BOL
1009,BONAIRENSE,"BONAIRE, SAN EUSTAQUIO Y SABA",BES
1010,BOSNIOHERZEGOVINO,BOSNIA Y HERZEGOVINA,BIH
9360,BOTSUANO,BOTSUANA,BWA
1011,"BOUVET, ISLA","BOUVET, ISLA",BVT
9363,BRASILEÑO,BRASIL,BRA
9366,BRUNEANO,BRUNEI DARUSSALAM,BRN
9369,BÚLGARO,BULGARIA,BGR
1012,BURKINÉS,BURKINA FASO,BFA
9372,BURUNDIANO,BURUNDI,BDI
9375,BUTANÉS,BUTÁN,BTN
9377,CABOVERDIANO,CABO VERDE,CPV
1013,CAIMANÉS,"CAIMÁN, ISLAS",CYM
9378,CAMBOYANO,CAMBOYA,KHM
9381,CAMERUNÉS,CAMERÚN,CMR
9384,CANADIENSE,CANADÁ,CAN
9387,CEILANO,CEILAN,LKA
9390,CENTROAFRICANO,"CENTROAFRICANA, REPÚBLICA",CAF
9417,CHADIANO,CHAD,TCD
9420,CHECOSLOVACO,CHECOSLOVAQUIA,CZE
9423,CHILENO,CHILE,CHL
9426,CHINO,"CHINA, REPÚBLICA POPULAR",CHN
9432,CHIPRIOTA,CHIPRE,CYP
1014,COCANO,"COCOS KEELING, ISLAS",CCK
9393,COLOMBIANO,COLOMBIA,COL
9394,COMORENSE,"COMORAS, ISLAS",COM
9396,CONGOLEÑO,"CONGO, REPÚBLICA DEL",COG
9399,CONGOLÉS,"CONGO, REPÚBLICA DEMOCRÁTICA",COD
1015,COOKIANO,"COOK, ISLAS",COK
9402,NORCOREANO,"COREA DEL NORTE, REPÚBLICA POPULAR DEMOCRÁTICA",PRK
9405,SURCOREANO,"COREA DEL SUR, REPÚBLICA",KOR
9408,MARFILEÑO,COSTA DE MARFIL,CIV
9411,COSTARRICENSE,COSTA RICA,CRI
1016,CROATA,CROACIA,HRV
9414,CUBANO,CUBA,CUB
1017,CURAZOLEÑO,CURAZAO,CUW
9435,DAHOMEYANO,DAHOMEY,
9438,DANÉS,DINAMARCA,DNK
9440,DOMINIQUÉS,DOMINICA,DMA
9441,DOMINICANO,"DOMINICANA, REPÚBLICA",DOM
9444,ECUATORIANO,ECUADOR,ECU
9666,EGIPCIO,EGIPTO,EGY
9300,SALVADOREÑO,EL SALVADOR,SLV
9446,EMIRATÍE,EMIRATOS ÁRABES UNIDOS,ARE
1018,ERITREO,ERITEA,
1019,ESLOVENO,ESLOVENIA,SVN
1020,ESLOVACO,ESOLOVAQUIA,SVK
9447,ESPAÑOL,ESPAÑA,ESP
9450,ESTADOUNIDENSE,ESTADOS UNIDOS DE AMÉRICA,USA
1021,ESTONIO,ESTONIA,EST
9453,ETÍOPE,ETIOPÍA,ETH
1022,FEROÉS,"FEROE, ISLAS",FRO
9459,FILIPINO,FILIPINAS,PHL
9462,FINLANDÉS,FINLANDIA,FIN
9456,FIYIANO,"FIYI, ISLAS",FJI
9465,FRANCÉS,FRANCIA,FRA
9468,GABONÉS,GABÓN,GAB
9471,GAMBIANO,GAMBIA,GMB
1023,GEORGIANO,GEORGIA,GEO
1024,SURGEORGIANO,GEORGIA DEL SUR Y LAS ISLAS SANDWICH DEL SUR,
9474,GHANÉS,GHANA,GHA
9477,GIBRALTAREÑO,GIBRALTAR,GIB
9481,GRANADINO,GRANADA,GRD
9480,GRIEGO,GRECIA,GRC
1025,GROENLANDÉS,GROENLANDIA,GRL
1026,GUADALUPEÑO,GUADALUPE,GLP
1027,GUAMEÑO,GUAM,GUM
9483,GUATEMALTECO,GUATEMALA,GTM
1028,GUERNSEYÉS,GUERNSEY,GGY
9486,GUINEANO,GUINEA,GIN
1029,GUINEANO,GUINEA BISSAU,GNB
1030,ECUATOGUINEANO,GUINEA ECUATORIAL,GNQ
9487,GUYANÉS,GUYANA,GUY
1031,FRANCOGUAYANÉS,GUYANA FRANCESA,GUF
9495,HAITIANO,HAITÍ,HTI
1032,"HEARD, ISLA E ISLAS MCDONALD","HEARD, ISLA E ISLAS MCDONALD",HMD
9501,HONDUREÑO,HONDURAS,HND
9504,HONGKONÉS,HONG KONG,HKG
9507,HÚNGARO,HUNGRÍA,HUN
9510,INDIO,INDIA,IND
9513,INDONESIO,INDONESIA,IDN
